account_uid,customer_name,email,phone,account_type,created_at,risk_level,fraud_score,is_fraud
ACC00001,Aryan Maharaj,udantdewan@example.net,8196001338908,Savings,2023-12-06,Low,0.0,1
ACC00002,Oni Kannan,zmall@example.org,6542351161559,Wallet,2023-04-25,Low,0.0,0
ACC00003,Caleb Sharaf,radhakrishnanfarhan@example.net,9593103413164,Current,2023-08-11,Low,0.0,1
ACC00004,Janya Gaba,isha34@example.net,9283276483503,Savings,2022-02-07,Low,0.0,0
ACC00005,Diya Rattan,dominic39@example.net,3767242388496,Savings,2022-05-06,Low,0.0,1
ACC00006,Janaki Kanda,yashodharatak@example.org,1226916697848,Business,2023-11-29,Low,0.0,0
ACC00007,Ishwar Yadav,harini14@example.com,7048281489325,Savings,2023-09-27,Low,0.0,0
ACC00008,Aadi Naik,hbahl@example.com,3039117182278,Current,2023-05-07,Low,0.0,0
ACC00009,Alka Wable,ikakar@example.net,4657871331509,Savings,2022-06-05,Low,0.0,0
ACC00010,Thomas Amble,bhargavaveer@example.org,5183473829973,Current,2021-12-28,Low,0.0,0
ACC00011,Niharika Gupta,chatterjeeraagini@example.com,6701065133387,Business,2023-05-20,Low,0.0,0
ACC00012,Pahal Goswami,turvi31@example.com,0801326773602,Business,2022-05-07,Low,0.0,0
ACC00013,Aarnav Ramakrishnan,suhani46@example.net,2343098050097,Wallet,2021-09-24,Low,0.0,0
ACC00014,Dakshesh Trivedi,grewalekapad@example.net,3619399091699,Savings,2021-11-14,Low,0.0,1
ACC00015,Advika Jayaraman,william46@example.org,7510799118384,Current,2022-01-16,Low,0.0,0
ACC00016,Ikshita Biswas,kalamane@example.org,8498084124118,Business,2023-01-17,Low,0.0,0
ACC00017,Anita Manda,hemaljani@example.net,8740164005242,Wallet,2023-07-25,Low,0.0,0
ACC00018,Prisha Andra,borramanthan@example.net,5982620450533,Current,2024-07-07,Low,0.0,1
ACC00019,Irya Ray,warjasgaba@example.org,0256342160733,Wallet,2023-09-18,Low,0.0,1
ACC00020,Inaya Mody,udantbajwa@example.net,6541458685014,Savings,2022-12-07,Low,0.0,0
